UserID,Name,Surname,Gender,BirthDate,City,Country,RegistrationDate,LastLoginDaysAgo,PremiumUser,FriendsCount,CoursesCompleted,AverageScore,ActiveHoursPerWeek,AccountStatus,MainInterest
10000,Ashley,Rodriguez,Other,1990-12-10,Tel Aviv,Israel,2020-04-30,31,True,305,4,62.0,21.3,Active,Data Analyst
10001,Roy,Griffith,Male,1977-02-21,Berlin,USA,2023-06-30,27,True,178,11,90.2,28.5,Deleted,Design
10002,Belinda,Collins,Female,2000-10-25,,Germany,2022-06-18,36,False,115,10,63.1,26.6,Active,Data Science
10003,Jamie,Roberts,Female,1999-08-20,Berlin,Israel,2025-04-10,25,False,196,7,73.9,19.0,Active,Design
10004,Lisa,Banks,Other,2005-04-07,Jerusalem,Israel,2025-04-08,43,False,311,8,77.7,26.0,Active,Marketing
10005,Madison,Snow,Male,1996-09-19,Los Angeles,USA,2024-04-27,28,False,488,15,104.9,12.9,Active,Data Science
10006,Desiree,Reed,Male,1995-03-10,,India,2021-11-15,22,False,262,3,72.5,16.4,Active,Marketing
10007,Ethan,Solomon,Female,1997-12-26,Tel Aviv,USA,2022-04-07,26,False,99,5,71.2,6.8,Active,Marketing
10008,Abigail,Harvey,Female,1977-04-05,Haifa,Germany,2023-08-13,20,False,361,11,75.3,18.5,Active,Data Science
10009,Mark,Franklin,Female,1982-08-28,New York,Germany,2024-01-12,54,False,267,9,73.9,17.3,Active,Data Analyst
10010,John,Patel,Other,2003-10-01,Mumbai,Israel,2023-01-20,35,True,197,15,71.1,16.8,Active,Data Analyst
10011,Stephanie,Smith,Male,1996-05-06,Tel Aviv,India,2022-08-25,53,False,234,13,78.0,19.0,Active,Design
10012,Wendy,Moore,Male,1980-04-04,Berlin,Germany,2021-03-21,14,False,462,8,80.8,22.0,Active,Design
10013,Bradley,Rhodes,Other,1980-02-05,New York,India,2023-03-19,20,False,30,0,83.3,9.3,Active,Data Science
10014,Michelle,Steele,Female,1989-08-10,Berlin,Israel,2021-04-13,34,False,331,12,96.7,12.8,Active,Marketing
10015,Carrie,Davis,Female,1988-02-04,Tel Aviv,Germany,2021-02-03,25,True,277,9,88.0,4.0,Deleted,Marketing
10016,Patrick,Walsh,Male,2004-09-25,,Germany,2021-03-24,2,False,243,12,93.9,12.6,Active,Data Science
10017,Justin,Wells,Male,1998-04-02,Munich,India,2022-07-05,1,False,288,10,77.1,4.3,Suspended,Cybersecurity
